run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,timeout,timeout,33233,timeout,timeout,timeout,6337,timeout
run2,timeout,timeout,timeout,timeout,timeout,timeout,1651,timeout
run3,timeout,timeout,timeout,timeout,3599,timeout,32873,timeout
run4,timeout,1812,1313,timeout,timeout,timeout,timeout,timeout
run5,timeout,43546,56603,timeout,7654,timeout,38657,timeout
run6,timeout,timeout,timeout,timeout,timeout,11791,6141,5704
run7,timeout,53615,1509,timeout,timeout,33113,timeout,timeout
run8,timeout,1129,65782,timeout,3867,34971,timeout,timeout
run9,timeout,25795,timeout,timeout,timeout,timeout,timeout,timeout
run10,timeout,timeout,timeout,timeout,timeout,50490,timeout,timeout
