run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,14990,41975,1939,timeout,354,588,1606,1163
run2,756,1629,1228,timeout,5930,601,1070,2565
run3,1829,timeout,3317,timeout,5337,33562,967,1141
run4,timeout,1398,1405,timeout,4420,17342,5388,1190
run5,403,2580,1214,timeout,8011,8607,2180,1073
run6,1670,190,1680,timeout,9079,1779,4723,9733
run7,timeout,582,1822,timeout,883,timeout,1240,5950
run8,3255,2532,1593,timeout,9826,timeout,1022,129
run9,8494,940,1611,timeout,21588,1440,236,476
run10,343,1697,1153,timeout,8553,2991,753,958
