run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,7883,4667,5127,3541,1737,15242,2435,9072
run2,8492,14230,1833,1026,21597,3127,2028,11227
run3,20511,1292,52661,1430,3680,2947,12607,16822
run4,2222,10437,1387,244,22867,2639,23901,11272
run5,2743,41459,11008,2566,3398,2747,2789,763
run6,9296,67388,4099,5629,26830,1183,3418,10379
run7,3619,23214,2380,14679,6897,3376,10929,1445
run8,10905,2155,637,252,11745,9231,4835,12234
run9,8019,16348,1814,3228,22160,2122,2065,4090
run10,16450,7910,1463,10222,7046,5825,2795,17500
