run,afl-clang-fast,afl-gcc,angora,honggfuzz,intriguer,mopt,qsym,symcc
run1,1430,641,763,timeout,1530,1360,439,675
run2,464,395,3808,timeout,6544,511,821,2778
run3,4032,1761,2695,timeout,4115,1208,867,802
run4,2982,931,1758,timeout,967,666,1134,449
run5,1930,1332,1286,timeout,3586,681,1136,1300
run6,352,timeout,6853,timeout,1766,552,1240,6424
run7,4002,1351,2696,timeout,768,1953,198,1029
run8,196,538,1411,timeout,862,2293,1828,2246
run9,1926,1400,3882,timeout,1110,1224,240,979
run10,3421,timeout,3691,timeout,1247,1478,1181,1945
